episode,timestep,reward
1,1000,16.14
3,2000,-89.5
5,3000,-102.75
7,4000,20.535
9,5000,-29.5
11,6000,59.275
13,7000,-123.635
15,8000,-17.08
17,9000,-83.81
19,10000,-35.255
21,11000,-29.2
23,12000,-68.8
25,13000,34.4
27,14000,-45.09
29,15000,-21.83
31,16000,-36.445
33,17000,-51.815
35,18000,16.655
37,19000,-69.945
39,20000,-100.64
41,21000,-79.445
43,22000,37.665
45,23000,-103.315
47,24000,-88.865
49,25000,23.08
51,26000,-30.175
53,27000,15.015
55,28000,-8.6
57,29000,100.075
59,30000,1.88
61,31000,-87.98
63,32000,-100.465
65,33000,-98.475
67,34000,-66.6
69,35000,-59.4
71,36000,-29.865
73,37000,-39.44
75,38000,1.565
77,39000,-118.865
79,40000,-66.465
81,41000,-87.155
83,42000,-32.74
85,43000,6.735
87,44000,-39.245
89,45000,-105.98
91,46000,-84.21
93,47000,-103.095
95,48000,-17.67
97,49000,-33.94
99,50000,-96.925
101,51000,7.145
103,52000,-44.035
105,53000,-34.22
107,54000,-115.845
109,55000,14.94
111,56000,-117.35
113,57000,0.645
115,58000,-3.93
117,59000,-22.565
119,60000,18.61
121,61000,33.545
123,62000,-57.18
125,63000,-23.85
127,64000,-144.06
129,65000,11.855
131,66000,-68.075
133,67000,-1.85
135,68000,-84.535
137,69000,-78.74
139,70000,60.93
141,71000,63.45
143,72000,-9.455
145,73000,83.64
147,74000,-49.475
149,75000,42.37
151,76000,82.795
153,77000,3.62
155,78000,-81.57
157,79000,-18.99
159,80000,-30.495
161,81000,-38.775
163,82000,-16.295
165,83000,-42.74
167,84000,6.07
169,85000,51.59
171,86000,-57.13
173,87000,5.905
175,88000,21.13
177,89000,-44.81
179,90000,-34.85
181,91000,-73.675
183,92000,17.06
185,93000,86.795
187,94000,-24.69
189,95000,59.27
191,96000,20.1
193,97000,97.695
195,98000,122.29
