episode,timestep,reward
1,1000,-74.12
3,2000,6.11
5,3000,-23.225
7,4000,72.04
9,5000,-21.39
11,6000,-90.83
13,7000,-32.175
15,8000,9.56
17,9000,-125.375
19,10000,-78.89
21,11000,-59.495
23,12000,46.19
25,13000,-77.86
27,14000,-2.585
29,15000,1.75
31,16000,-39.235
33,17000,-31.485
35,18000,10.125
37,19000,-2.89
39,20000,-75.92
41,21000,-41.925
43,22000,68.655
45,23000,-164.16
47,24000,93.015
49,25000,61.95
51,26000,32.02
53,27000,-18.07
55,28000,-72.93
57,29000,92.44
59,30000,31.58
61,31000,-42.11
63,32000,-30.755
65,33000,90.34
67,34000,30.98
69,35000,33.44
71,36000,62.035
73,37000,48.475
75,38000,9.34
77,39000,-57.545
79,40000,87.83
81,41000,-94.555
83,42000,-46.22
85,43000,24.58
87,44000,-13.375
89,45000,28.555
91,46000,-9.37
93,47000,4.005
95,48000,26.595
97,49000,-99.19
99,50000,-64.595
101,51000,6.97
103,52000,44.39
105,53000,136.29
107,54000,110.27
109,55000,20.185
111,56000,-17.835
113,57000,-7.81
115,58000,70.49
117,59000,128.46
119,60000,-33.945
121,61000,59.725
123,62000,107.175
125,63000,53.95
127,64000,170.685
129,65000,116.145
131,66000,63.9
133,67000,47.935
135,68000,-64.96
137,69000,-74.855
139,70000,42.24
141,71000,-64.92
143,72000,15.625
145,73000,24.505
147,74000,28.32
149,75000,-102.145
151,76000,29.73
153,77000,69.215
155,78000,-105.24
157,79000,24.195
159,80000,-34.94
161,81000,-74.9
163,82000,42.525
165,83000,121.685
167,84000,-55.34
169,85000,7.67
171,86000,56.915
173,87000,-30.18
175,88000,-38.125
177,89000,70.465
179,90000,-36.08
181,91000,-14.995
183,92000,72.31
185,93000,-89.055
187,94000,-81.67
189,95000,98.43
191,96000,19.28
193,97000,57.475
195,98000,-101.61
197,99000,-59.69
199,100000,-87.795
201,101000,-13.095
203,102000,-55.505
205,103000,69.24
207,104000,-70.425
209,105000,-14.805
211,106000,28.985
213,107000,47.185
215,108000,-37.77
217,109000,46.5
219,110000,7.465
221,111000,-51.015
223,112000,-57.55
225,113000,26.035
227,114000,-149.695
229,115000,-125.17
231,116000,-142.97
233,117000,-130.075
235,118000,-24.095
237,119000,-28.175
239,120000,-93.26
241,121000,-19.115
243,122000,6.87
245,123000,-24.925
247,124000,-34.385
249,125000,-21.78
251,126000,-72.605
253,127000,-36.77
255,128000,-101.665
257,129000,-37.36
259,130000,-135.3
261,131000,-139.76
263,132000,-60.335
265,133000,-97.88
267,134000,-6.285
269,135000,-101.045
271,136000,-98.955
273,137000,-118.57
275,138000,16.98
277,139000,-78.88
279,140000,-40.265
281,141000,-110.47
283,142000,-112.16
285,143000,-147.48
287,144000,-81.08
289,145000,-82.73
291,146000,-85.84
293,147000,-57.31
295,148000,-103.49
297,149000,-95.69
299,150000,-70.37
301,151000,-114.295
303,152000,-158.61
305,153000,-127.855
307,154000,-10.49
309,155000,-83.37
311,156000,-26.44
313,157000,-75.88
315,158000,-49.06
317,159000,-49.03
319,160000,-120.815
321,161000,-41.735
323,162000,-66.24
325,163000,-117.65
327,164000,-56.1
329,165000,4.125
331,166000,-6.68
333,167000,-91.14
335,168000,35.985
337,169000,-46.38
339,170000,-75.81
341,171000,-24.305
343,172000,-41.425
345,173000,-70.74
347,174000,-124.88
349,175000,-109.44
351,176000,48.56
353,177000,-106.48
355,178000,-67.215
357,179000,-75.08
359,180000,-7.785
361,181000,-45.51
363,182000,-76.37
365,183000,-95.795
367,184000,-0.27
369,185000,50.035
371,186000,57.355
373,187000,-127.025
375,188000,1.41
377,189000,27.82
379,190000,-49.355
381,191000,-130.09
383,192000,37.165
385,193000,-54.6
387,194000,56.045
389,195000,-70.565
391,196000,-117.525
393,197000,-146.81
395,198000,9.34
397,199000,-109.21
399,200000,-21.06
401,201000,-46.245
403,202000,-106.26
405,203000,-61.525
407,204000,-67.81
409,205000,-102.265
411,206000,9.1
413,207000,-54.685
415,208000,18.9
417,209000,-47.55
419,210000,-48.91
421,211000,-78.655
423,212000,-91.97
425,213000,-94.58
427,214000,-54.66
429,215000,14.535
431,216000,-36.93
433,217000,-30.705
435,218000,23.745
437,219000,-67.35
439,220000,-53.175
441,221000,17.19
443,222000,120.205
445,223000,7.865
