episode,timestep,reward
1,1000,-152.72
3,2000,-176.51
5,3000,-170.98
7,4000,-163.65
9,5000,-163.37
11,6000,-225.98
13,7000,-168.63
15,8000,-168.64
17,9000,-139.9
19,10000,-139.16
21,11000,-163.91
23,12000,-158.79
25,13000,-204.35
27,14000,-149.79
29,15000,-159.9
31,16000,-177.03
33,17000,-176.68
35,18000,-201.96
37,19000,-127.9
39,20000,-121.7
41,21000,-188.13
43,22000,-164.12
45,23000,-175.16
47,24000,-135.68
49,25000,-176.34
51,26000,-142.27
53,27000,-122.8
55,28000,-193.58
57,29000,-131.55
59,30000,-156.57
61,31000,-133.12
63,32000,-182.04
65,33000,-144.46
67,34000,-139.07
69,35000,-155.69
71,36000,-143.54
73,37000,-150.98
75,38000,-168.83
77,39000,-135.15
79,40000,-184.25
81,41000,-138.52
83,42000,-106.44
85,43000,-172.99
87,44000,-139.16
89,45000,-170.08
91,46000,-151.06
93,47000,-129.35
95,48000,-158.38
97,49000,-115.85
99,50000,-130.05
101,51000,-140.14
103,52000,-124.57
