episode,reward,total_reward
1,-1069.2,-1069.199999999995
2,-958.2,-847.1999999999866
3,-926.8,-863.9999999999873
4,-959.1,-1055.9999999999945
5,-975.6,-1041.599999999994
6,-969.2,-937.19999999999
7,-979.5,-1041.599999999994
8,-979.5,-979.1999999999916
9,-973.3,-923.9999999999895
10,-974.5,-985.1999999999919
11,-988.3,-1125.5999999999972
12,-981.5,-907.1999999999896
13,-988.8,-1076.3999999999953
14,-996.0,-1089.5999999999958
15,-1003.2,-1103.9999999999964
16,-1004.5,-1024.7999999999934
17,-1008.6,-1072.7999999999952
18,-1007.7,-992.3999999999921
19,-1004.3,-943.1999999999903
20,-1004.3,-1004.3999999999926
21,-1009.2,-1107.5999999999965
22,-1010.0,-1025.9999999999934
23,-1010.0,-1011.5999999999929
24,-1003.9,-863.9999999999873
25,-1007.8,-1099.1999999999962
26,-1013.4,-1154.3999999999983
27,-1013.4,-1013.999999999993
28,-1015.3,-1066.799999999995
29,-1016.9,-1060.7999999999947
30,-1015.9,-986.3999999999919
31,-1013.2,-933.5999999999899
32,-1014.1,-1042.799999999994
33,-1016.1,-1079.9999999999955
34,-1012.4,-890.3999999999883
35,-1012.2,-1003.1999999999925
36,-1012.5,-1024.7999999999934
37,-1017.0,-1177.1999999999991
38,-1019.6,-1114.7999999999968
39,-1020.4,-1053.5999999999945
40,-1018.0,-923.9999999999895
41,-1021.0,-1141.1999999999978
42,-1018.0,-895.1999999999884
43,-1020.9,-1142.3999999999978
44,-1020.7,-1011.5999999999929
45,-1020.0,-989.999999999992
46,-1022.4,-1130.3999999999974
47,-1023.7,-1079.9999999999955
48,-1025.2,-1096.799999999996
49,-1024.9,-1011.5999999999929
50,-1024.5,-1006.7999999999927
51,-1026.4,-1120.799999999997
52,-1026.7,-1041.599999999994
53,-1025.8,-975.5999999999915
54,-1026.2,-1049.9999999999943
55,-1027.5,-1096.799999999996
56,-1027.8,-1047.5999999999942
57,-1029.1,-1099.1999999999962
58,-1030.1,-1089.5999999999958
59,-1031.6,-1115.9999999999968
60,-1031.3,-1013.999999999993
61,-1030.7,-995.9999999999923
62,-1030.8,-1035.5999999999938
63,-1032.4,-1131.5999999999974
64,-1033.0,-1069.199999999995
65,-1035.2,-1174.799999999999
66,-1036.3,-1107.5999999999965
67,-1037.4,-1115.9999999999968
68,-1038.6,-1115.9999999999968
69,-1040.1,-1142.3999999999978
70,-1039.5,-999.5999999999924
71,-1039.5,-1035.5999999999938
72,-1039.5,-1040.399999999994
73,-1038.9,-999.5999999999924
74,-1040.1,-1121.999999999997
75,-1039.8,-1021.1999999999932
76,-1040.5,-1094.399999999996
77,-1041.0,-1076.3999999999953
78,-1041.6,-1090.7999999999959
79,-1042.7,-1127.9999999999973
80,-1043.5,-1106.3999999999965
81,-1044.2,-1097.9999999999961
82,-1044.3,-1051.1999999999944
83,-1044.8,-1085.9999999999957
84,-1045.0,-1063.1999999999948
85,-1044.3,-988.799999999992
86,-1045.1,-1106.3999999999965
87,-1044.8,-1021.1999999999932
88,-1044.9,-1055.9999999999945
89,-1044.4,-1001.9999999999925
90,-1043.4,-949.1999999999905
91,-1043.9,-1087.1999999999957
92,-1044.4,-1097.9999999999961
93,-1045.1,-1101.5999999999963
94,-1045.9,-1121.999999999997
95,-1046.5,-1100.3999999999962
96,-1045.8,-983.9999999999918
97,-1046.9,-1148.399999999998
98,-1047.3,-1087.1999999999957
99,-1047.7,-1091.999999999996
100,-1048.5,-1123.199999999997
101,-1049.5,-1175.999999999999
102,-1052.0,-1094.399999999996
103,-1053.7,-1034.3999999999937
104,-1049.3,-611.9999999999777
105,-1050.2,-1137.5999999999976
106,-1051.5,-1066.799999999995
107,-1052.9,-1173.599999999999
108,-1053.8,-1073.9999999999952
109,-1053.8,-922.7999999999895
110,-1055.6,-1161.5999999999985
111,-1055.2,-1091.999999999996
112,-1057.5,-1133.9999999999975
113,-1056.7,-997.1999999999923
114,-1056.4,-1064.3999999999949
115,-1055.5,-1011.5999999999929
116,-1055.8,-1055.9999999999945
117,-1055.9,-1080.8999999999958
118,-1056.7,-1071.5999999999951
119,-1057.3,-1006.5999999999931
120,-1058.0,-1067.999999999995
121,-1058.1,-1117.1999999999969
122,-1058.3,-1047.5999999999942
123,-1058.6,-1043.999999999994
124,-1059.3,-935.9999999999902
125,-1059.1,-1072.7999999999952
126,-1057.9,-1037.9999999999939
127,-1057.1,-935.99999999999
128,-1057.1,-1063.1999999999948
129,-1057.1,-1064.3999999999949
130,-1057.7,-1047.5999999999942
131,-1059.5,-1114.7999999999968
132,-1058.9,-974.3999999999915
133,-1056.5,-844.7999999999865
134,-1059.2,-1155.5999999999983
135,-1059.5,-1035.5999999999938
136,-1057.0,-773.9999999999839
137,-1055.1,-986.3999999999919
138,-1054.8,-1083.5999999999956
139,-1053.8,-955.1999999999907
140,-1054.1,-953.9999999999907
141,-1053.7,-1105.1999999999964
142,-1055.2,-1045.1999999999941
143,-1054.3,-1051.1999999999944
144,-1054.7,-1049.9999999999943
145,-1055.5,-1067.999999999995
146,-1056.0,-1186.7999999999995
147,-1055.3,-1001.9999999999925
148,-1055.0,-1072.7999999999952
149,-1055.9,-1097.9999999999961
150,-1057.0,-1120.799999999997
151,-1056.8,-1096.799999999996
152,-1056.9,-1053.5999999999945
153,-1056.5,-933.5999999999899
154,-1055.6,-965.9999999999911
155,-1054.9,-1021.1999999999932
