episode,reward
1,-1101.6
2,-1120.2
3,-1084.4
4,-1069.8
5,-1029.8
6,-1040.2
7,-1041.6
8,-1057.2
9,-1059.6
10,-1059.6
11,-1067.9
12,-1068.0
13,-1072.4
14,-1076.3
15,-1077.6
16,-1081.6
17,-1078.6
18,-1081.2
19,-1079.5
20,-1078.3
21,-1068.9
22,-1069.3
23,-1071.7
24,-1072.5
25,-1074.6
26,-1076.3
27,-1079.2
28,-1079.8
29,-1083.4
30,-1084.0
31,-1084.6
32,-1083.4
33,-1084.8
34,-1087.2
35,-1087.5
36,-1087.8
37,-1079.9
38,-1080.5
39,-1080.4
40,-1081.5
41,-1082.0
42,-1081.5
43,-1081.2
44,-1082.8
45,-1085.1
46,-1084.0
47,-1085.2
48,-1083.1
49,-1081.9
50,-1081.3
51,-1082.2
52,-1081.8
53,-1082.2
54,-1082.7
55,-1083.3
56,-1084.9
57,-1084.7
58,-1084.7
59,-1085.8
60,-1085.8
61,-1086.6
62,-1086.3
63,-1086.7
64,-1086.5
65,-1086.7
66,-1086.5
67,-1087.4
68,-1087.7
69,-1088.5
70,-1088.8
71,-1089.0
72,-1089.4
73,-1090.3
74,-1091.0
75,-1091.3
76,-1092.0
77,-1092.6
78,-1092.4
79,-1092.9
80,-1093.8
81,-1092.6
82,-1093.3
83,-1093.4
84,-1094.6
85,-1094.4
86,-1094.0
87,-1094.2
88,-1094.0
89,-1094.7
90,-1094.4
91,-1095.3
92,-1095.8
93,-1096.4
94,-1096.3
95,-1096.6
96,-1097.4
97,-1097.3
98,-1097.7
99,-1098.1
100,-1097.6
101,-1096.6
102,-1096.3
103,-1097.8
104,-1098.4
105,-1100.7
106,-1101.2
107,-1101.2
108,-1100.4
109,-1100.5
110,-1099.2
111,-1099.0
112,-1098.6
113,-1097.9
114,-1095.5
115,-1095.1
116,-1094.8
117,-1092.0
118,-1091.8
119,-1093.0
120,-1094.2
121,-1096.4
122,-1095.9
123,-1095.9
124,-1095.6
125,-1094.8
126,-1094.1
127,-1093.6
128,-1094.0
129,-1094.0
130,-1094.3
131,-1093.8
132,-1094.8
133,-1094.5
134,-1093.0
135,-1092.9
136,-1092.9
137,-1096.2
138,-1095.9
139,-1095.8
140,-1095.9
141,-1095.6
142,-1096.5
143,-1096.8
144,-1096.4
145,-1095.1
146,-1094.8
147,-1093.2
148,-1095.0
149,-1095.6
150,-1096.1
151,-1095.5
152,-1096.5
153,-1097.3
154,-1097.1
155,-1097.3
156,-1097.1
157,-1095.2
158,-1095.5
159,-1095.4
160,-1095.8
161,-1096.2
162,-1097.2
163,-1096.1
164,-1094.9
165,-1095.3
166,-1095.9
167,-1095.8
168,-1095.2
169,-1094.6
170,-1094.4
171,-1093.5
172,-1093.7
173,-1093.9
174,-1094.4
175,-1094.3
176,-1093.9
177,-1093.9
178,-1094.6
179,-1093.2
180,-1092.3
181,-1093.2
182,-1092.3
183,-1092.2
184,-1091.0
185,-1091.1
186,-1090.0
187,-1090.0
188,-1089.6
189,-1088.7
190,-1089.7
191,-1088.6
192,-1088.3
193,-1087.3
194,-1087.5
195,-1087.6
196,-1086.3
197,-1086.7
198,-1085.9
199,-1085.5
200,-1086.4
201,-1087.7
202,-1088.1
203,-1087.6
204,-1088.4
205,-1088.2
206,-1087.9
207,-1089.0
208,-1088.7
209,-1088.3
210,-1089.6
211,-1089.0
212,-1089.8
213,-1089.9
214,-1091.5
215,-1091.7
216,-1091.3
217,-1094.1
218,-1094.2
219,-1091.6
220,-1090.2
221,-1090.6
222,-1091.4
223,-1091.2
224,-1091.4
225,-1091.5
226,-1090.8
227,-1090.9
228,-1090.8
229,-1089.3
230,-1088.3
231,-1088.3
232,-1088.5
233,-1088.4
234,-1089.4
235,-1089.6
236,-1090.1
237,-1090.0
238,-1090.2
239,-1090.8
240,-1089.7
241,-1089.5
242,-1089.7
243,-1089.6
244,-1090.2
245,-1090.5
246,-1091.3
247,-1092.0
248,-1091.2
249,-1091.6
250,-1092.4
251,-1091.7
