episode,reward
1,-1176
2,-1110
3,-1113.2
4,-1096.5
5,-1072.8
6,-1076.2
7,-1074.857143
8,-1083.45
9,-1076.266667
10,-1076.28
11,-1081.854545
12,-1074.7
13,-1081.569231
14,-1082.228571
15,-1079.6
16,-1073.475
17,-1075.623529
18,-1076
19,-1073.242105
20,-1071.12
21,-1075.771429
22,-1076.236364
23,-1071.756522
24,-1072.45
25,-1072.608
26,-1075.984615
27,-1073.111111
28,-1071.514286
29,-1071.186207
30,-1068.96
31,-1067.070968
32,-1066.575
33,-1068.727273
34,-1069.447059
35,-1072.182857
36,-1071.666667
37,-1073.059459
38,-1073.305263
39,-1074.646154
40,-1074.54
41,-1073.707317
42,-1075.142857
43,-1073.581395
44,-1074.545455
45,-1076.133333
46,-1074.078261
47,-1073.285106
48,-1074.85
49,-1074.416327
50,-1076.352
51,-1078.235294
52,-1078.892308
53,-1080.113208
54,-1081.333333
55,-1082.443636
56,-1082.635714
57,-1082.568421
58,-1083.682759
59,-1079.633898
60,-1078.92
61,-1076.419672
62,-1077.619355
63,-1078.590476
64,-1078.575
65,-1078.246154
66,-1077.327273
67,-1078.280597
68,-1078.994118
69,-1079.634783
70,-1080.874286
71,-1081.943662
72,-1082.5
73,-1083.254795
74,-1083.794595
75,-1084.272
76,-1085.526316
77,-1086
78,-1083.446154
79,-1084.070886
80,-1084.59
81,-1085.111111
82,-1084.068293
83,-1084.293976
84,-1084.042857
85,-1081.110588
86,-1081.446512
87,-1082.105747
88,-1081.986364
89,-1081.365169
90,-1081.47
91,-1081.717582
92,-1082.272826
93,-1082.764516
94,-1080.935106
95,-1081.38
96,-1080.628125
97,-1081.227835
98,-1080.835714
99,-1081.893939
100,-1082.283
101,-1081.287
102,-1082.403
103,-1081.647
104,-1081.899
105,-1083.939
106,-1083.363
107,-1083.279
108,-1081.731
109,-1082.283
110,-1082.367
111,-1082.139
112,-1083.543
113,-1083.639
114,-1083.819
115,-1084.827
116,-1085.319
117,-1085.175
118,-1085.523
119,-1084.983
120,-1085.643
121,-1084.155
122,-1084.851
123,-1085.751
124,-1084.743
125,-1084.095
126,-1083.699
127,-1085.079
128,-1084.263
129,-1085.259
130,-1086.747
131,-1088.019
132,-1088.019
133,-1088.079
134,-1088.091
135,-1086.435
136,-1086.687
137,-1086.087
138,-1085.739
139,-1085.691
140,-1086.675
141,-1086.975
142,-1086.195
143,-1087.167
144,-1086.759
145,-1086.711
146,-1087.755
147,-1088.091
148,-1088.103
149,-1088.523
150,-1087.983
151,-1086.567
152,-1086.819
153,-1086.807
154,-1085.583
155,-1085.799
156,-1086.231
157,-1085.079
158,-1084.491
159,-1085.007
160,-1085.031
161,-1087.287
162,-1086.867
163,-1086.351
164,-1086.435
165,-1087.059
166,-1088.067
167,-1087.935
168,-1087.875
169,-1087.059
170,-1085.319
171,-1084.407
172,-1084.287
173,-1083.975
174,-1084.515
175,-1083.831
176,-1083.195
177,-1101.6
178,-1120.2
179,-1084.4
180,-1069.8
181,-1029.8
182,-1040.2
183,-1041.6
184,-1057.2
185,-1059.6
186,-1059.6
187,-1067.9
188,-1068
189,-1072.4
190,-1076.3
191,-1077.6
192,-1081.6
193,-1078.6
194,-1081.2
195,-1079.5
196,-1078.3
197,-1068.9
198,-1069.3
199,-1071.7
200,-1072.5
201,-1074.6
202,-1076.3
203,-1079.2
204,-1079.8
205,-1083.4
206,-1084
207,-1084.6
208,-1083.4
209,-1084.8
210,-1087.2
211,-1087.5
212,-1087.8
213,-1079.9
214,-1080.5
215,-1080.4
216,-1081.5
217,-1082
218,-1081.5
219,-1081.2
220,-1082.8
221,-1085.1
222,-1084
223,-1085.2
224,-1083.1
225,-1081.9
226,-1081.3
227,-1082.2
228,-1081.8
229,-1082.2
230,-1082.7
231,-1083.3
232,-1084.9
233,-1084.7
234,-1084.7
235,-1085.8
236,-1085.8
237,-1086.6
238,-1086.3
239,-1086.7
240,-1086.5
241,-1086.7
242,-1086.5
243,-1087.4
244,-1087.7
245,-1088.5
246,-1088.8
247,-1089
248,-1089.4
249,-1090.3
250,-1091
251,-1091.3
252,-1092
253,-1092.6
254,-1092.4
255,-1092.9
256,-1093.8
257,-1092.6
258,-1093.3
259,-1093.4
260,-1094.6
261,-1094.4
262,-1094
263,-1094.2
264,-1094
265,-1094.7
266,-1094.4
267,-1095.3
268,-1095.8
269,-1096.4
270,-1096.3
271,-1096.6
272,-1097.4
273,-1097.3
274,-1097.7
275,-1098.1
276,-1097.6
277,-1096.6
278,-1096.3
279,-1097.8
280,-1098.4
281,-1100.7
282,-1101.2
283,-1101.2
284,-1100.4
285,-1100.5
286,-1099.2
287,-1099
288,-1098.6
289,-1097.9
290,-1095.5
291,-1095.1
292,-1094.8
293,-1092
294,-1091.8
295,-1093
296,-1094.2
297,-1096.4
298,-1095.9
299,-1095.9
300,-1095.6
301,-1094.8
302,-1094.1
