episode,reward,total_reward
1,-1069.2,-1069.2
2,-958.2,-847.2
3,-926.8,-864
4,-959.1,-1056
5,-975.6,-1041.6
6,-969.2,-937.2
7,-979.5,-1041.6
8,-979.5,-979.2
9,-973.3,-924
10,-974.5,-985.2
11,-988.3,-1125.6
12,-981.5,-907.2
13,-988.8,-1076.4
14,-996,-1089.6
15,-1003.2,-1104
16,-1004.5,-1024.8
17,-1008.6,-1072.8
18,-1007.7,-992.4
19,-1004.3,-943.2
20,-1004.3,-1004.4
21,-1009.2,-1107.6
22,-1010,-1026
23,-1010,-1011.6
24,-1003.9,-864
25,-1007.8,-1099.2
26,-1013.4,-1154.4
27,-1013.4,-1014
28,-1015.3,-1066.8
29,-1016.9,-1060.8
30,-1015.9,-986.4
31,-1013.2,-933.6
32,-1014.1,-1042.8
33,-1016.1,-1080
34,-1012.4,-890.4
35,-1012.2,-1003.2
36,-1012.5,-1024.8
37,-1017,-1177.2
38,-1019.6,-1114.8
39,-1020.4,-1053.6
40,-1018,-924
41,-1021,-1141.2
42,-1018,-895.2
43,-1020.9,-1142.4
44,-1020.7,-1011.6
45,-1020,-990
46,-1022.4,-1130.4
47,-1023.7,-1080
48,-1025.2,-1096.8
49,-1024.9,-1011.6
50,-1024.5,-1006.8
51,-1026.4,-1120.8
52,-1026.7,-1041.6
53,-1025.8,-975.6
54,-1026.2,-1050
55,-1027.5,-1096.8
56,-1027.8,-1047.6
57,-1029.1,-1099.2
58,-1030.1,-1089.6
59,-1031.6,-1116
60,-1031.3,-1014
61,-1030.7,-996
62,-1030.8,-1035.6
63,-1032.4,-1131.6
64,-1033,-1069.2
65,-1035.2,-1174.8
66,-1036.3,-1107.6
67,-1037.4,-1116
68,-1038.6,-1116
69,-1040.1,-1142.4
70,-1039.5,-999.6
71,-1039.5,-1035.6
72,-1039.5,-1040.4
73,-1038.9,-999.6
74,-1040.1,-1122
75,-1039.8,-1021.2
76,-1040.5,-1094.4
77,-1041,-1076.4
78,-1041.6,-1090.8
79,-1042.7,-1128
80,-1043.5,-1106.4
81,-1044.2,-1098
82,-1044.3,-1051.2
83,-1044.8,-1086
84,-1045,-1063.2
85,-1044.3,-988.8
86,-1045.1,-1106.4
87,-1044.8,-1021.2
88,-1044.9,-1056
89,-1044.4,-1002
90,-1043.4,-949.2
91,-1043.9,-1087.2
92,-1044.4,-1098
93,-1045.1,-1101.6
94,-1045.9,-1122
95,-1046.5,-1100.4
96,-1045.8,-984
97,-1046.9,-1148.4
98,-1047.3,-1087.2
99,-1047.7,-1092
100,-1048.5,-1123.2
101,-1049.5,-1176
102,-1052,-1094.4
103,-1053.7,-1034.4
104,-1049.3,-612
105,-1050.2,-1137.6
106,-1051.5,-1066.8
107,-1052.9,-1173.6
108,-1053.8,-1074
109,-1053.8,-922.8
110,-1055.6,-1161.6
111,-1055.2,-1092
112,-1057.5,-1134
113,-1056.7,-997.2
114,-1056.4,-1064.4
115,-1055.5,-1011.6
116,-1055.8,-1056
117,-1055.9,-1080.9
118,-1056.7,-1071.6
119,-1057.3,-1006.6
120,-1058,-1068
121,-1058.1,-1117.2
122,-1058.3,-1047.6
123,-1058.6,-1044
124,-1059.3,-936
125,-1059.1,-1072.8
126,-1057.9,-1038
127,-1057.1,-936
128,-1057.1,-1063.2
129,-1057.1,-1064.4
130,-1057.7,-1047.6
131,-1059.5,-1114.8
132,-1058.9,-974.4
133,-1056.5,-844.8
134,-1059.2,-1155.6
135,-1059.5,-1035.6
136,-1057,-774
137,-1055.1,-986.4
138,-1054.8,-1083.6
139,-1053.8,-955.2
140,-1054.1,-954
141,-1053.7,-1105.2
142,-1055.2,-1045.2
143,-1054.3,-1051.2
144,-1054.7,-1050
145,-1055.5,-1068
146,-1056,-1186.8
147,-1055.3,-1002
148,-1055,-1072.8
149,-1055.9,-1098
150,-1057,-1120.8
151,-1056.8,-1096.8
152,-1056.9,-1053.6
153,-1056.5,-933.6
154,-1055.6,-966
155,-1054.9,-1021.2
