episode,total_reward,reward
1,-915.5,-915.5
2,-918.1,-916.8
3,-1003.5,-945.7
4,-965.2,-950.6
5,-597.5,-880.0
6,-943.2,-890.5
7,-356.1,-814.2
8,-306.7,-750.7
9,-1261.5,-807.5
10,-531.2,-779.9
11,-1225.2,-820.3
12,-479.5,-791.9
13,-594.0,-776.7
14,-113.9,-729.4
15,-883.1,-739.6
16,-320.8,-713.4
17,-935.6,-726.5
18,-1104.9,-747.5
19,-937.1,-757.5
20,-456.0,-742.4
21,-538.4,-732.7
22,-752.8,-733.6
23,-244.2,-712.3
24,-145.7,-688.7
25,-909.2,-697.6
26,-96.7,-674.4
27,-201.5,-656.9
28,-679.6,-657.7
29,-305.8,-645.6
30,-1437.4,-672.0
31,-807.3,-676.4
32,-670.7,-676.2
33,-979.7,-685.4
34,-339.1,-675.2
35,-1434.4,-696.9
36,-727.1,-697.7
37,-1015.5,-706.3
38,-761.8,-707.8
39,-474.0,-701.8
40,-1416.5,-719.6
41,-1038.1,-727.4
42,-699.2,-726.7
43,-715.2,-726.5
44,67.8,-708.4
45,-670.4,-707.6
46,-511.1,-703.3
47,-617.8,-701.5
48,-540.6,-698.1
49,-1037.9,-705.1
50,-513.0,-701.2
51,-655.2,-700.3
52,-1040.4,-706.9
53,-356.0,-700.2
54,-542.3,-697.3
55,-612.3,-695.8
56,-554.8,-693.3
57,-336.0,-687.0
58,-802.0,-689.0
59,-717.0,-689.4
60,-783.2,-691.0
61,-374.9,-685.8
62,-319.9,-679.9
63,-442.4,-676.2
64,-489.3,-673.2
65,-1110.1,-680.0
66,-813.9,-682.0
67,-727.2,-682.7
68,-948.7,-686.6
69,-810.3,-688.4
70,-920.0,-691.7
71,-1180.0,-698.6
72,-720.5,-698.9
73,-657.8,-698.3
74,-1220.0,-705.3
75,-382.8,-701.0
76,-514.1,-698.6
77,-760.8,-699.4
78,-1158.5,-705.3
79,-665.2,-704.8
80,-473.5,-701.9
81,-1092.0,-706.7
82,-696.0,-706.6
83,-1341.4,-714.2
84,-596.5,-712.8
85,-406.0,-709.2
86,-616.8,-708.1
87,-833.6,-709.6
88,-777.5,-710.3
89,56.4,-701.7
90,-400.5,-698.4
91,-877.9,-700.4
92,-631.8,-699.6
93,-601.0,-698.6
94,-892.3,-700.6
95,-408.3,-697.5
96,-692.6,-697.5
97,-1520.0,-706.0
98,-559.0,-704.5
99,-1085.5,-708.3
100,-1112.9,-712.4
101,-418.2,-707.4
102,-942.5,-707.6
103,-919.9,-706.8
104,-993.6,-707.1
105,-1142.1,-712.5
106,-732.8,-710.4
107,-456.9,-711.4
108,-120.8,-709.6
109,-376.9,-700.7
110,-625.7,-701.7
111,-581.3,-695.2
112,-728.0,-697.7
113,-1022.1,-702.0
114,-612.3,-707.0
115,-899.0,-707.1
116,-950.4,-713.4
117,-28.0,-704.4
118,-889.4,-702.2
119,-870.4,-701.5
120,-293.9,-699.9
121,-823.7,-702.8
122,-779.5,-703.0
123,-398.4,-704.6
124,-204.4,-705.2
125,-153.0,-697.6
126,-1323.6,-709.9
127,-117.0,-709.0
128,534.8,-696.9
129,-512.6,-699.0
130,-1209.0,-696.7
131,-1018.2,-698.8
132,-624.9,-698.3
133,-876.7,-697.3
134,-399.0,-697.9
135,-998.6,-693.5
136,-471.2,-691.0
137,-1408.0,-694.9
138,-1194.3,-699.2
139,-1471.8,-709.2
140,-681.3,-701.8
141,-782.6,-699.3
142,-588.1,-698.2
143,-1071.5,-701.7
144,-997.0,-712.4
145,-551.1,-711.2
146,-507.3,-711.2
147,-918.6,-714.2
148,-1326.6,-722.0
149,-984.6,-721.5
150,-369.4,-720.1
151,-894.7,-722.5
152,-765.1,-719.7
153,-486.7,-721.0
154,-529.9,-720.9
155,-1127.0,-726.0
156,-714.2,-727.6
157,-672.4,-731.0
158,-738.7,-730.4
159,-759.6,-730.8
