episode,total_reward,reward
1,-461.7,-461.7
2,-695.3,-578.5
3,-684.9,-614
4,-775.4,-654.3
5,-807.7,-685
6,-785.4,-701.7
7,-725.8,-705.2
8,-586,-690.3
9,-590.4,-679.2
10,-1388.3,-750.1
11,-718.9,-747.2
12,-846.4,-755.5
13,-716.7,-752.5
14,-1421.6,-800.3
15,-944.2,-809.9
16,-272.3,-776.3
17,-797.6,-777.6
18,-551.2,-765
19,-810.3,-767.4
20,-806.2,-769.3
21,-506.9,-756.8
22,-1360.9,-784.3
23,-762.7,-783.3
24,-766.3,-782.6
25,-1006.4,-791.6
26,-776.6,-791
27,-872,-794
28,-568,-785.9
29,-1164.4,-799
30,-1166.8,-811.2
31,-751.2,-809.3
32,-894.7,-812
33,-1028.7,-818.5
34,-570.1,-811.2
35,-864.7,-812.8
36,-54.2,-791.7
37,-1365.4,-807.2
38,-1106.2,-815.1
39,-1496.9,-832.5
40,-593,-826.6
41,-973.7,-830.1
42,-572.8,-824
43,-767.9,-822.7
44,-738.5,-820.8
45,-1049.8,-825.9
46,-760.8,-824.5
47,-744.4,-822.8
48,-618.3,-818.5
49,-962.6,-821.5
50,-976,-824.5
51,-791.7,-823.9
52,-919.6,-825.7
53,-554.5,-820.6
54,-376.3,-812.4
55,-1218.6,-819.8
56,-688.9,-817.4
57,-1344.4,-826.7
58,-537.2,-821.7
59,-519,-816.6
60,-825.3,-816.7
61,-1156.4,-822.3
62,-611.3,-818.9
63,-1083.5,-823.1
64,-544.3,-818.7
65,-997.4,-821.5
66,-1093.9,-825.6
67,-843.9,-825.9
68,-832.2,-826
69,-837.8,-826.1
70,-816.8,-826
71,-611.1,-823
72,-1274.3,-829.2
73,-726,-827.8
74,-660.6,-825.6
75,-845.6,-825.8
76,-1100.4,-829.4
77,-825.7,-829.4
78,-565.3,-826
79,-827.1,-826
80,-510.8,-822.1
81,-793.2,-821.7
82,-693.2,-820.2
83,-1210.9,-824.9
84,-661.1,-822.9
85,-778.2,-822.4
86,-609.1,-819.9
87,-1364.7,-826.2
88,-1147.2,-829.8
89,-1041.4,-832.2
90,-738.7,-831.2
91,-903.5,-832
92,-884.4,-832.5
93,-992.8,-834.2
94,-375.5,-829.4
95,-1042.3,-831.6
96,-623,-829.4
97,-799,-829.1
98,-994.2,-830.8
99,-1140.4,-833.9
100,-780.3,-833.4
101,-126.7,-830
102,-1094.4,-834
103,-994.4,-837.1
104,-692.1,-836.3
105,-673.5,-835
106,-1117.8,-838.3
107,-449,-835.5
108,-958.9,-839.2
109,-673.5,-840.1
110,-1149.1,-837.7
111,-916.3,-839.7
112,-591.6,-837.1
113,-589.9,-835.8
114,-1161.3,-833.2
115,-216,-826
116,-849.3,-831.7
117,-633.7,-830.1
118,-1025.3,-834.8
119,-561.9,-832.3
120,-392,-828.2
121,-715.7,-830.3
122,-823.9,-824.9
123,-393.8,-821.2
124,-976.3,-823.3
125,-951.1,-822.8
126,-886.8,-823.9
127,-1274,-827.9
128,-1168.4,-833.9
129,-840.3,-830.7
130,-409.8,-823.1
131,-924.1,-824.8
132,-899.1,-824.9
133,-697.7,-821.6
134,-626.2,-822.1
135,-688,-820.3
136,-1326,-833.1
137,-70.9,-820.1
138,-811.3,-817.2
139,42.8,-801.8
140,-417.6,-800
141,-762.4,-797.9
142,-768.3,-799.9
143,-770.8,-799.9
144,-1535.2,-807.9
145,-812.7,-805.5
146,-891,-806.8
147,-767.5,-807
148,-819.5,-809
149,-982.4,-809.2
150,-1001.4,-809.5
151,-885.8,-810.4
152,-1256.5,-813.8
153,-910.6,-817.4
154,-1228.2,-825.9
155,-773,-821.4
156,-919.6,-823.7
157,-919.2,-819.5
158,-925.8,-823.4
159,-1184.9,-830
160,-725.2,-829
161,-642.8,-823.9
162,-514.3,-822.9
163,-1015.4,-822.2
164,-1018.1,-827
165,-619.7,-823.2
166,-600.3,-818.3
167,-46.9,-810.3
168,-1081.3,-812.8
169,-572.9,-810.1
170,-909.6,-811.1
171,-472.3,-809.7
172,-233.7,-799.3
173,-921.5,-801.2
174,-681.7,-801.4
175,-843,-801.4
176,181.9,-788.6
177,284.6,-777.5
178,-430.2,-776.1
179,-1260.9,-780.5
180,-800.2,-783.4
181,-246.3,-777.9
182,-401.9,-775
183,-120.4,-764.1
184,-841.7,-765.9
185,-971.9,-767.8
186,-838.5,-770.1
187,408,-752.4
188,-1205.8,-753
189,-1076.9,-753.3
190,-926.2,-755.2
191,-909.3,-755.3
192,-308.2,-749.5
193,-863.6,-748.2
194,-947.2,-753.9
195,-767.2,-751.2
196,-868.9,-753.6
197,-980.8,-755.4
198,-506.6,-750.6
199,-823.4,-747.4
200,-644,-746
201,-1169.8,-756.5
202,-1051.9,-756
203,-1047,-756.6
204,-593.4,-755.6
205,449.5,-744.4
206,-609.5,-739.3
207,-1015.8,-744.9
208,-808.2,-743.4
209,-788.2,-744.6
210,-677,-739.9
211,-260.1,-733.3
212,-219.3,-729.6
213,-761.8,-731.3
214,-22.7,-719.9
215,-867,-726.4
216,-962.5,-727.6
217,-1143.5,-732.7
218,-1055.7,-733
219,-708.1,-734.4
220,-461.1,-735.1
221,-540.9,-733.4
222,-762.9,-732.7
223,-1010.4,-738.9
224,-867.5,-737.8
225,-1309.4,-741.4
226,-1161.8,-744.2
227,-800,-739.4
228,-1383,-741.6
229,-550.5,-738.7
230,-967.5,-744.2
231,-588.1,-740.9
232,-969.7,-741.6
233,-256.1,-737.2
234,-1112.4,-742
235,-796.7,-743.1
236,-601.4,-735.9
237,-973.6,-744.9
238,-914.2,-745.9
239,-283,-749.2
240,-429.6,-749.3
241,-631.9,-748
242,-533.8,-745.7
243,-676,-744.7
244,313.3,-726.2
245,-931.3,-727.4
246,-739,-725.9
247,-437.3,-722.6
248,-953,-723.9
249,-363.3,-717.7
250,-697.4,-714.7
251,-680,-712.6
252,-492,-705
253,-1268.3,-708.6
254,-644.1,-702.7
255,-226.3,-697.3
256,438.2,-683.7
257,-24.6,-674.7
258,-712.2,-672.6
259,-1025.2,-671
260,-922.7,-673
261,-418.7,-670.7
262,-839.5,-674
263,-831.5,-672.2
264,-469.9,-666.7
265,-128.6,-661.8
266,-569.6,-661.5
267,-866.8,-669.6
268,54.8,-658.3
269,-612.4,-658.7
270,-943.7,-659
271,-739.4,-661.7
272,-544.3,-664.8
273,-1120.7,-666.8
274,-816.6,-668.1
275,-437.9,-664.1
276,-922.7,-675.1
277,-915.5,-915.5
278,-918.1,-916.8
279,-1003.5,-945.7
280,-965.2,-950.6
281,-597.5,-880
282,-943.2,-890.5
283,-356.1,-814.2
284,-306.7,-750.7
285,-1261.5,-807.5
286,-531.2,-779.9
287,-1225.2,-820.3
288,-479.5,-791.9
289,-594,-776.7
290,-113.9,-729.4
291,-883.1,-739.6
292,-320.8,-713.4
293,-935.6,-726.5
294,-1104.9,-747.5
295,-937.1,-757.5
296,-456,-742.4
297,-538.4,-732.7
298,-752.8,-733.6
299,-244.2,-712.3
300,-145.7,-688.7
301,-909.2,-697.6
302,-96.7,-674.4
303,-201.5,-656.9
304,-679.6,-657.7
305,-305.8,-645.6
306,-1437.4,-672
307,-807.3,-676.4
308,-670.7,-676.2
309,-979.7,-685.4
310,-339.1,-675.2
311,-1434.4,-696.9
312,-727.1,-697.7
313,-1015.5,-706.3
314,-761.8,-707.8
315,-474,-701.8
316,-1416.5,-719.6
317,-1038.1,-727.4
318,-699.2,-726.7
319,-715.2,-726.5
320,67.8,-708.4
321,-670.4,-707.6
322,-511.1,-703.3
323,-617.8,-701.5
324,-540.6,-698.1
325,-1037.9,-705.1
326,-513,-701.2
327,-655.2,-700.3
328,-1040.4,-706.9
329,-356,-700.2
330,-542.3,-697.3
331,-612.3,-695.8
332,-554.8,-693.3
333,-336,-687
334,-802,-689
335,-717,-689.4
336,-783.2,-691
337,-374.9,-685.8
338,-319.9,-679.9
339,-442.4,-676.2
340,-489.3,-673.2
341,-1110.1,-680
342,-813.9,-682
343,-727.2,-682.7
344,-948.7,-686.6
345,-810.3,-688.4
346,-920,-691.7
347,-1180,-698.6
348,-720.5,-698.9
349,-657.8,-698.3
350,-1220,-705.3
351,-382.8,-701
352,-514.1,-698.6
353,-760.8,-699.4
354,-1158.5,-705.3
355,-665.2,-704.8
356,-473.5,-701.9
357,-1092,-706.7
358,-696,-706.6
359,-1341.4,-714.2
360,-596.5,-712.8
361,-406,-709.2
362,-616.8,-708.1
363,-833.6,-709.6
364,-777.5,-710.3
365,56.4,-701.7
366,-400.5,-698.4
367,-877.9,-700.4
368,-631.8,-699.6
369,-601,-698.6
370,-892.3,-700.6
371,-408.3,-697.5
372,-692.6,-697.5
373,-1520,-706
374,-559,-704.5
375,-1085.5,-708.3
376,-1112.9,-712.4
377,-418.2,-707.4
378,-942.5,-707.6
379,-919.9,-706.8
380,-993.6,-707.1
381,-1142.1,-712.5
382,-732.8,-710.4
383,-456.9,-711.4
384,-120.8,-709.6
385,-376.9,-700.7
386,-625.7,-701.7
387,-581.3,-695.2
388,-728,-697.7
389,-1022.1,-702
390,-612.3,-707
391,-899,-707.1
392,-950.4,-713.4
393,-28,-704.4
394,-889.4,-702.2
395,-870.4,-701.5
396,-293.9,-699.9
397,-823.7,-702.8
398,-779.5,-703
399,-398.4,-704.6
400,-204.4,-705.2
401,-153,-697.6
402,-1323.6,-709.9
403,-117,-709
404,534.8,-696.9
405,-512.6,-699
406,-1209,-696.7
407,-1018.2,-698.8
408,-624.9,-698.3
409,-876.7,-697.3
410,-399,-697.9
411,-998.6,-693.5
412,-471.2,-691
413,-1408,-694.9
414,-1194.3,-699.2
415,-1471.8,-709.2
416,-681.3,-701.8
417,-782.6,-699.3
418,-588.1,-698.2
419,-1071.5,-701.7
420,-997,-712.4
421,-551.1,-711.2
422,-507.3,-711.2
423,-918.6,-714.2
424,-1326.6,-722
425,-984.6,-721.5
426,-369.4,-720.1
427,-894.7,-722.5
428,-765.1,-719.7
429,-486.7,-721
430,-529.9,-720.9
431,-1127,-726
432,-714.2,-727.6
433,-672.4,-731
434,-738.7,-730.4
435,-759.6,-730.8
