episode,timestep,reward
1,1000,-276.44
3,2000,-268.39
5,3000,-252.625
7,4000,-237.715
9,5000,-272.245
11,6000,-241.58
13,7000,-268.34
15,8000,-222.52
17,9000,-239.98
19,10000,-231.85
21,11000,-248.225
23,12000,-269.925
25,13000,-205.44
27,14000,-270.53
29,15000,-272.725
31,16000,-216.2
33,17000,-220.7
35,18000,-254.67
37,19000,-270.14
39,20000,-257.415
41,21000,-226.425
43,22000,-139.665
45,23000,-231.19
47,24000,-262.33
49,25000,-217.825
51,26000,-217.565
53,27000,-235.575
55,28000,-237.855
57,29000,-200.14
59,30000,-257.91
