episode,timestep,reward
1,4000,-1007.475
3,8000,-1010.1875
5,12000,-1010.775
7,16000,-1013.0625
9,20000,-1008.0375
11,24000,-1004.55
13,28000,-1008.0
15,32000,-1013.7875
17,36000,-1008.7875
19,40000,-1006.6
21,44000,-1017.3875
23,48000,-1004.425
25,52000,-1006.2
27,56000,-1007.475
29,60000,-1010.35
31,64000,-1007.0625
33,68000,-1010.175
35,72000,-1015.475
37,76000,-1010.5
39,80000,-1005.65
41,84000,-1011.575
43,88000,-1012.675
45,92000,-1007.1625
47,96000,-1006.825
49,100000,-1009.15
51,104000,-1007.325
53,108000,-1010.5
55,112000,-1008.0625
57,116000,-1004.9625
59,120000,-1018.15
61,124000,-1011.1
63,128000,-1012.925
65,132000,-1003.9125
67,136000,-1004.525
69,140000,-1018.0
71,144000,-1013.075
73,148000,-1008.05
75,152000,-1009.45
77,156000,-1007.025
79,160000,-1010.1875
81,164000,-1007.5
83,168000,-1006.525
85,172000,-1008.4125
87,176000,-1006.95
89,180000,-1010.65
91,184000,-1009.9875
93,188000,-1011.6375
95,192000,-1009.45
97,196000,-1004.9375
99,200000,-1008.4125
101,204000,-1011.5875
103,208000,-1008.95
105,212000,-1005.625
107,216000,-1009.3875
109,220000,-1015.45
111,224000,-1011.25
113,228000,-1005.8875
115,232000,-1007.175
117,236000,-1004.15
119,240000,-1008.1375
121,244000,-1006.8375
123,248000,-1004.9375
125,252000,-1007.5125
127,256000,-1006.7625
129,260000,-1014.55
131,264000,-1008.375
133,268000,-1004.325
135,272000,-1004.5375
137,276000,-1016.05
139,280000,-1018.6
141,284000,-1006.85
143,288000,-1007.2
145,292000,-1012.525
147,296000,-1004.725
149,300000,-1003.95
151,304000,-1012.9
153,308000,-1006.9
155,312000,-1006.575
157,316000,-1004.175
159,320000,-1003.9125
161,324000,-1005.225
163,328000,-1004.7
165,332000,-1005.4375
167,336000,-1005.1
169,340000,-1009.35
171,344000,-1009.75
173,348000,-1007.3
175,352000,-1003.8
177,356000,-1014.25
179,360000,-1005.1125
181,364000,-1008.1
183,368000,-1005.775
185,372000,-1002.1125
187,376000,-1007.2
189,380000,-1007.5375
191,384000,-1004.975
193,388000,-1003.7125
195,392000,-1006.95
197,396000,-1006.15
199,400000,-1013.425
201,404000,-1005.1
203,408000,-1012.15
205,412000,-1007.35
