episode,timestep,reward
4,4000,-314.8
9,8000,-311.92
14,12000,-324.88
19,16000,-324.64
24,20000,-325.6
29,24000,-330.88
34,28000,-304.24
39,32000,-316.24
44,36000,-347.92
49,40000,-325.36
54,44000,-334.24
59,48000,-315.28
64,52000,-329.2
69,56000,-331.84
74,60000,-345.52
79,64000,-318.4
84,68000,-322.0
89,72000,-333.04
94,76000,-329.44
99,80000,-340.0
104,84000,-327.76
109,88000,-312.16
114,92000,-326.32
119,96000,-326.08
124,100000,-277.36
129,104000,-332.32
134,108000,-306.16
139,112000,-304.0
144,116000,-331.12
149,120000,-326.32
154,124000,-308.56
159,128000,-309.04
164,132000,-283.36
