episode,timestep,reward
1,4000,-1054.5
3,8000,-1030.65
5,12000,-1038.35
7,16000,-1039.9
9,20000,-1036.75
11,24000,-1039.95
13,28000,-1020.0
15,32000,-1026.4
17,36000,-1042.15
19,40000,-1052.75
21,44000,-1020.0
23,48000,-1037.4
25,52000,-1034.15
27,56000,-1019.8
29,60000,-1045.35
31,64000,-1044.25
33,68000,-1023.1
35,72000,-1024.35
37,76000,-1039.95
39,80000,-1033.05
41,84000,-1025.35
43,88000,-1023.1
45,92000,-1028.35
47,96000,-1018.1
49,100000,-1030.95
51,104000,-1021.9
53,108000,-1031.25
55,112000,-1040.0
57,116000,-1030.55
59,120000,-1022.3
61,124000,-1025.75
63,128000,-1035.1
65,132000,-1046.75
67,136000,-1024.5
69,140000,-1016.1
71,144000,-1016.1
73,148000,-1024.95
75,152000,-1024.3
77,156000,-1056.0
79,160000,-1032.65
81,164000,-1027.05
83,168000,-1022.05
85,172000,-1029.5
87,176000,-1034.55
89,180000,-1027.7
91,184000,-1029.25
93,188000,-1023.5
95,192000,-1033.75
97,196000,-1012.15
99,200000,-1023.35
101,204000,-1020.5
103,208000,-1026.15
105,212000,-1027.8
107,216000,-1021.45
109,220000,-1019.65
111,224000,-1016.85
113,228000,-1038.25
115,232000,-1022.35
117,236000,-1017.4
119,240000,-1018.35
121,244000,-1031.0
123,248000,-1029.7
125,252000,-1045.0
127,256000,-1046.75
129,260000,-1036.0
131,264000,-1030.85
133,268000,-1035.95
135,272000,-1020.4
137,276000,-1035.8
139,280000,-1035.3
141,284000,-1018.85
143,288000,-1028.1
145,292000,-1027.05
147,296000,-1029.2
149,300000,-1016.45
151,304000,-1026.25
153,308000,-1030.9
155,312000,-1028.4
157,316000,-1019.7
159,320000,-1032.0
161,324000,-1031.2
163,328000,-1024.4
165,332000,-1022.6
167,336000,-1026.95
169,340000,-1022.05
171,344000,-1026.75
173,348000,-1012.7
175,352000,-1025.05
177,356000,-1013.85
179,360000,-1013.25
181,364000,-1013.5
183,368000,-1022.0
185,372000,-1028.5
187,376000,-1014.05
189,380000,-1025.7
191,384000,-1022.25
193,388000,-1007.25
195,392000,-1024.75
197,396000,-1021.4
199,400000,-1033.1
201,404000,-1017.5
203,408000,-1030.75
205,412000,-1017.3
207,416000,-1009.8
209,420000,-1011.4
211,424000,-1018.3
213,428000,-1016.45
215,432000,-1009.35
217,436000,-1020.0
219,440000,-1009.5
221,444000,-1013.95
223,448000,-1017.25
225,452000,-1012.15
227,456000,-1023.85
229,460000,-1021.3
231,464000,-1016.35
233,468000,-1009.4
235,472000,-1027.7
