episode,timestep,reward
1,1000,-361.5
3,2000,-272.61
5,3000,-310.11
7,4000,-215.58
9,5000,-255.645
11,6000,-219.81
13,7000,-218.475
15,8000,-249.525
17,9000,-243.54
19,10000,-233.235
21,11000,-226.995
23,12000,-267.45
25,13000,-265.38
27,14000,-254.175
29,15000,-236.34
31,16000,-266.01
33,17000,-289.71
35,18000,-240.285
37,19000,-253.455
39,20000,-237.48
41,21000,-282.435
43,22000,-269.73
45,23000,-213.24
47,24000,-251.025
49,25000,-240.405
51,26000,-203.7
53,27000,-257.835
55,28000,-277.995
57,29000,-282.555
59,30000,-224.115
61,31000,-245.64
63,32000,-236.985
65,33000,-175.11
67,34000,-237.42
69,35000,-203.28
71,36000,-220.215
73,37000,-257.475
75,38000,-223.185
77,39000,-341.37
79,40000,-192.765
81,41000,-212.835
83,42000,-259.515
85,43000,-275.175
