episode,timestep,reward
2,2000,-77.4333
4,4000,13.9667
7,6000,-106.9889
9,8000,5.6333
12,10000,-118.4556
14,12000,40.7333
17,14000,-114.7889
19,16000,-105.1833
22,18000,-105.4556
24,20000,-108.65
27,22000,-105.4889
29,24000,-109.2
32,26000,-104.7889
34,28000,-101.3333
37,30000,-104.8222
39,32000,-104.0167
42,34000,-21.9778
44,36000,33.3
47,38000,-109.2444
49,40000,-95.5
52,42000,-128.0444
54,44000,155.5333
57,46000,-113.2333
59,48000,-117.4167
62,50000,-120.4778
64,52000,-100.2833
67,54000,-13.2222
69,56000,19.9667
72,58000,-121.0556
74,60000,10.55
77,62000,-121.9778
79,64000,16.7
82,66000,-10.8444
84,68000,32.6
87,70000,-33.5778
89,72000,-118.75
92,74000,46.4667
94,76000,16.8
97,78000,-125.5556
99,80000,16.45
102,82000,-33.1667
104,84000,31.0833
107,86000,-137.4889
109,88000,-16.65
112,90000,-32.6
114,92000,7.3167
117,94000,-125.9556
119,96000,-127.2333
122,98000,-110.5333
124,100000,-135.2
127,102000,60.0
129,104000,-54.1167
132,106000,-113.9889
134,108000,28.3333
137,110000,-49.2333
139,112000,-126.7333
142,114000,-132.9444
144,116000,-125.95
147,118000,-96.8222
149,120000,-93.3667
152,122000,-102.3333
154,124000,-116.6333
157,126000,-105.3778
159,128000,-115.1667
162,130000,-62.0333
164,132000,-98.8167
167,134000,-101.1
169,136000,-131.5667
172,138000,-24.9556
174,140000,-123.55
177,142000,63.3444
179,144000,-119.35
182,146000,-128.6556
184,148000,-100.0167
187,150000,-43.8
189,152000,-102.7667
192,154000,-44.5889
194,156000,62.8667
197,158000,-51.6444
199,160000,-133.6
202,162000,-7.1889
204,164000,-109.9667
207,166000,-129.7889
209,168000,-130.1667
212,170000,-75.3444
214,172000,-122.3667
217,174000,-38.7556
219,176000,-111.7333
222,178000,-26.7889
224,180000,14.7167
227,182000,-63.5556
229,184000,-114.0167
232,186000,-22.4556
234,188000,-116.3667
237,190000,-108.8889
239,192000,-23.7333
242,194000,-124.8778
244,196000,-122.4
247,198000,-110.4222
249,200000,-123.5667
