episode,timestep,reward
2,2000,-78.4
4,4000,-142.5333
7,6000,-110.4
9,8000,-162.2
12,10000,-82.0
14,12000,-110.7667
17,14000,-97.7556
19,16000,-149.2
22,18000,-97.4667
24,20000,-143.0667
27,22000,-90.4889
29,24000,-116.0
32,26000,-167.4889
34,28000,-135.9667
37,30000,-126.8889
39,32000,-204.6
42,34000,-109.9111
44,36000,-109.6667
47,38000,-48.2889
49,40000,-98.3
52,42000,-108.2222
54,44000,-133.2667
57,46000,-95.8667
59,48000,-171.0
62,50000,-40.3111
64,52000,-105.7667
67,54000,-102.7556
69,56000,-68.6
72,58000,-91.8667
74,60000,-61.8
77,62000,-36.3111
79,64000,-97.0333
82,66000,-101.0222
84,68000,-172.7333
87,70000,-154.2222
89,72000,-130.4667
92,74000,-131.3333
94,76000,-153.6
97,78000,-109.3333
99,80000,-92.0667
102,82000,-111.0222
104,84000,-75.0333
107,86000,-109.4222
