episode,timestep,reward
1,4000,-1003.0
3,8000,-1004.5
5,12000,-1013.15
7,16000,-1010.0125
9,20000,-1006.775
11,24000,-1007.875
13,28000,-1008.1375
15,32000,-1011.85
17,36000,-1007.4375
19,40000,-1004.2625
21,44000,-1005.9625
23,48000,-1008.55
25,52000,-1008.075
27,56000,-1006.9
29,60000,-1005.7375
31,64000,-1005.85
33,68000,-1004.475
35,72000,-1006.0
37,76000,-1006.5
39,80000,-1006.7875
41,84000,-1010.5
43,88000,-1009.15
45,92000,-1013.05
47,96000,-1005.0875
49,100000,-1005.4375
51,104000,-1006.2375
53,108000,-1007.8
55,112000,-1005.15
57,116000,-1005.55
59,120000,-1003.8125
61,124000,-1005.5
63,128000,-1007.65
65,132000,-1007.275
67,136000,-1002.175
69,140000,-1004.2
71,144000,-1012.75
73,148000,-1008.3375
75,152000,-1008.775
77,156000,-1003.0
79,160000,-1004.65
81,164000,-1005.9125
83,168000,-1003.9
85,172000,-1006.15
87,176000,-1005.7
89,180000,-1006.0
91,184000,-1008.125
93,188000,-1010.95
95,192000,-1007.3625
97,196000,-1008.675
99,200000,-1007.1375
101,204000,-1005.8875
103,208000,-1003.1125
105,212000,-1006.15
107,216000,-1003.45
109,220000,-1004.8
111,224000,-1003.9
113,228000,-1007.475
115,232000,-1005.0375
117,236000,-1004.5
119,240000,-1009.25
121,244000,-1005.925
123,248000,-1006.625
125,252000,-1004.95
127,256000,-1006.1625
129,260000,-1006.3
131,264000,-1003.325
133,268000,-1001.65
135,272000,-1003.05
137,276000,-1002.4
139,280000,-1008.1
141,284000,-1004.8
143,288000,-1007.2625
145,292000,-1005.75
147,296000,-1004.2
149,300000,-1006.15
151,304000,-1007.35
153,308000,-1004.45
155,312000,-1005.2125
157,316000,-1003.9
159,320000,-1002.1
161,324000,-1005.275
163,328000,-1006.65
165,332000,-1008.1
167,336000,-1013.2
169,340000,-1002.7
171,344000,-1002.85
173,348000,-1004.1375
175,352000,-1004.65
177,356000,-1004.35
179,360000,-1003.3
181,364000,-1008.0875
183,368000,-1005.55
185,372000,-1004.5625
187,376000,-1003.425
189,380000,-1003.3
191,384000,-1004.975
193,388000,-1004.7
195,392000,-1007.6125
197,396000,-1004.05
199,400000,-1006.15
201,404000,-1004.1375
203,408000,-1001.6875
205,412000,-1005.7
207,416000,-1002.6875
209,420000,-1004.8
211,424000,-1004.35
213,428000,-1004.3
215,432000,-1005.55
217,436000,-1004.725
219,440000,-1001.95
221,444000,-1005.4
223,448000,-1007.65
225,452000,-1008.55
227,456000,-1003.45
229,460000,-1006.35
231,464000,-1007.9625
233,468000,-1005.1
235,472000,-1011.25
237,476000,-1006.4125
239,480000,-1006.15
241,484000,-1001.35
243,488000,-1007.95
245,492000,-1006.9
247,496000,-1004.325
249,500000,-1004.3
251,504000,-1006.9
253,508000,-1004.4
255,512000,-1003.9875
257,516000,-1001.65
